date,latitude,longitude,depth,magnitude,location
2024-12-26T09:18:23,38.87556,37.45222,7.0,ML,1.7
2024-12-26T08:25:38,37.68306,36.12778,7.07,ML,1.7
2024-12-26T08:00:33,38.88972,31.48167,7.0,ML,2.3
2024-12-26T07:40:09,38.36806,38.89639,7.06,ML,2.3
2024-12-26T07:35:42,37.97833,27.20667,8.35,ML,2.1
2024-12-26T07:32:42,37.88583,29.25222,7.0,ML,1.4
2024-12-26T07:26:47,37.46972,36.56333,7.03,ML,2.7
2024-12-26T07:15:24,37.98444,27.22083,7.67,ML,1.3
2024-12-26T06:08:02,37.69306,36.23667,7.0,ML,1.2
2024-12-26T06:07:13,38.01861,36.49083,6.95,ML,1.4
2024-12-26T06:03:11,38.11194,36.39306,6.99,ML,1.6
2024-12-26T05:47:58,38.55472,40.195,6.96,ML,1.4
2024-12-26T05:43:06,38.33472,38.79194,9.81,ML,1.7
2024-12-26T05:32:04,37.93361,27.16833,8.85,ML,1.5
2024-12-26T04:09:43,35.05861,31.00694,10.46,ML,2.7
2024-12-26T04:04:28,37.15417,28.80889,7.06,ML,1.9
2024-12-26T04:00:50,37.87861,38.59278,6.99,ML,1.3
2024-12-26T03:59:24,38.65278,43.24972,12.98,ML,1.4
2024-12-26T03:49:32,38.3225,34.82944,16.05,ML,1.6
2024-12-26T03:34:32,38.05083,38.265,7.0,ML,0.9
2024-12-26T03:18:15,38.15278,38.46667,15.78,ML,1.6
2024-12-26T02:49:18,37.88889,29.26028,13.94,ML,1.8
2024-12-26T02:37:12,38.53444,26.77194,16.45,ML,2.0
2024-12-26T02:35:27,37.87139,29.27917,16.02,ML,1.8
2024-12-26T02:28:51,38.13972,36.58333,7.02,ML,1.9
2024-12-26T01:58:15,39.94556,29.22167,7.0,ML,1.6
2024-12-26T01:38:15,38.57194,39.53056,6.97,ML,1.3
2024-12-26T01:22:08,38.14556,37.82194,7.0,ML,1.1
2024-12-26T01:07:45,38.20806,38.58917,15.46,ML,1.8
2024-12-26T00:41:23,37.1625,28.80333,7.01,ML,1.8
2024-12-26T00:36:06,37.15806,28.80889,7.02,ML,1.8
2024-12-26T00:10:42,38.36278,38.74028,7.01,ML,0.9
2024-12-25T21:37:31,38.09111,38.43028,7.0,ML,2.1
2024-12-25T21:36:06,38.15333,37.86611,6.29,ML,2.9
