date,latitude,longitude,depth,magnitude,location
1735162767455,50.5227,-130.6748,10.0,4.9,"254 km W of Port McNeill, Canada"
1735155531654,-3.2423,146.0968,10.0,4.7,"186 km SW of Lorengau, Papua New Guinea"
1735153626293,-24.0911,-66.985,188.687,4.6,"69 km WNW of San Antonio de los Cobres, Argentina"
1735148873956,11.1993,-85.7653,94.353,4.6,"12 km ESE of San Juan del Sur, Nicaragua"
1735142993004,-34.2819,-178.3026,10.0,4.8,south of the Kermadec Islands
1735136760063,1.7615,127.3898,113.821,4.5,"69 km W of Tobelo, Indonesia"
1735136130176,-7.4305,127.8361,167.602,4.3,"151 km NE of Lospalos, Timor Leste"
1735118453240,19.5603,-65.691,86.0,4.1,"126 km N of Suárez, Puerto Rico"
1735113463635,36.4578,70.4016,210.582,4.3,"50 km ESE of Farkhār, Afghanistan"
1735111248286,13.6007,144.7297,129.607,4.5,"13 km NNW of Tamuning-Tumon-Harmon Village, Guam"
1735109693671,-5.6483,151.2956,75.1,4.5,"128 km E of Kimbe, Papua New Guinea"
1735108488698,-19.1289,-177.5439,458.796,5.6,Fiji region
1735099167087,-56.6008,147.5478,10.0,4.5,west of Macquarie Island
1735083165243,13.4394,120.3991,10.0,4.7,"3 km WSW of Harrison, Philippines"
1735080146171,-28.2519,-67.4617,138.0,5.9,"23 km SSE of Tinogasta, Argentina"
1735072414562,6.3233,-74.841,71.38,4.9,"13 km SW of Caracolí, Colombia"
1735070866828,-24.4121,-67.4083,203.458,4.1,"112 km W of San Antonio de los Cobres, Argentina"
1735067986745,-17.7977,168.1034,53.176,4.9,"23 km WSW of Port-Vila, Vanuatu"
1735064547172,34.6754,32.046,10.0,4.5,"35 km WSW of Chlórakas, Cyprus"
1735058994113,-39.0628,-72.3137,95.072,4.7,"25 km NNW of Villarrica, Chile"
1735057649130,75.7581,8.7386,10.0,4.5,Greenland Sea
1735056608964,-39.1381,174.7839,219.078,4.2,"48 km ENE of Stratford, New Zealand"
1735049526088,-17.765,167.9651,35.0,4.8,"37 km W of Port-Vila, Vanuatu"
1735041915572,8.9435,40.1637,10.0,4.5,"4 km S of Āwash, Ethiopia"
1735036974721,2.5942,126.3999,70.403,4.9,"190 km NE of Bitung, Indonesia"
1735033549120,8.8402,40.0744,10.0,4.5,"18 km ESE of Metahāra, Ethiopia"
1735031510244,10.6835,-68.7163,10.0,4.6,"10 km NNW of Yumare, Venezuela"
1735031310038,36.6617,71.0766,219.337,4.2,"31 km SE of Jurm, Afghanistan"
1735015146384,40.1432,23.3031,10.0,4.1,"6 km SSW of Néa Poteídaia, Greece"
1735010309250,55.5062,166.1435,10.0,4.5,"243 km ESE of Ust’-Kamchatsk Staryy, Russia"
1735007396019,40.2366,142.3379,55.403,4.0,"46 km ENE of Noda, Japan"
