date,latitude,longitude,depth,magnitude,location
2023-08-16T12:47:00,-13.8814,167.158,192.955,6.5,"Sola, Vanuatu"
2023-07-19T00:22:00,12.814,-88.1265,69.727,6.5,"Intipucá, El Salvador"
2023-07-17T03:05:00,-38.1911,-70.3731,171.371,6.6,"Loncopué, Argentina"
2023-07-16T06:48:00,54.3844,-160.699,32.571,7.2,"Sand Point, Alaska"
2023-07-16T06:48:00,54.49,-160.796,21,7.3,Alaska Peninsula
2023-07-10T20:28:00,20.0196,-61.0955,10,6.6,"Codrington, Antigua and Barbuda"
2023-07-02T10:27:00,-17.853,-174.937,229,6.9,Tonga
2023-06-15T18:06:00,-22.9824,-177.208,167.404,7.2,the Fiji Islands
2023-05-25T03:05:00,8.8894,-77.1231,10,6.6,Panama-Colombia border region
2023-05-20T01:51:00,-23.0622,170.456,35.981,7.1,the Loyalty Islands
2023-05-19T02:57:00,-23.2286,170.694,18.027,7.7,the Loyalty Islands
2023-05-10T16:02:00,-15.6002,-174.608,210.097,7.6,"Hihifo, Tonga"
2023-04-28T03:13:00,-25.2657,178.424,598.467,6.6,the Fiji Islands
2023-04-24T20:00:00,-0.781,98.5339,15.462,7.1,"Teluk Dalam, Indonesia"
2023-04-24T00:41:00,-30.0249,-177.897,43.063,7.1,"Kermadec Islands, New Zealand"
2023-04-18T04:31:00,-22.2844,179.391,595.854,6.7,the Fiji Islands
2023-04-14T09:55:00,-6.0255,112.033,594.028,7,"Tuban, Indonesia"
2023-04-03T03:06:00,52.7772,158.484,105.631,6.5,"the Kamchatka Peninsula, Russia"
2023-04-02T18:04:00,-4.2924,143.155,62.603,7,"New Guinea, Papua New Guinea"
2023-03-22T16:00:00,-23.4797,-66.5108,209.976,6.5,"San Antonio de los Cobres, Argentina"
2023-03-21T16:47:00,36.5227,70.9787,187.589,6.5,"Jurm, Afghanistan"
2023-03-18T17:12:00,-2.851,-79.8001,65.842,6.8,Ecuador
2023-03-16T00:56:00,-30.1147,-176.112,22.065,7,Kermadec Islands region
2023-03-04T06:41:00,-29.4748,-178.787,205.681,6.9,"Kermadec Islands, New Zealand"
2023-03-02T18:04:00,-15.3597,166.385,10,6.5,"Port-Olry, Vanuatu"
2023-03-01T05:36:00,-4.8138,149.487,598.925,6.5,"Kimbe, Papua New Guinea"
2023-02-23T00:37:00,38.0726,73.2077,20.522,6.8,"Murghob, Tajikistan"
2023-02-06T10:24:00,38.0235,37.203,10,7.5,"Ekinözü, Turkey"
2023-02-06T01:28:00,37.4135,36.8306,14.497,6.7,"Nurdağı, Turkey"
2023-02-06T01:17:00,37.2012,36.9997,17.925,7.8,Central Turkey
2023-01-20T22:09:00,-26.7209,-63.0394,610.671,6.8,South America Argentina
2023-01-18T06:06:00,2.7401,127.051,28.566,7,"Tobelo, Indonesia"
2023-01-09T17:47:00,-7.0852,130.039,105.249,7.6,"Pulau Pulau Tanimbar, Indonesia"
2023-01-08T12:32:00,-14.9383,166.878,29,7,Vanuatu
2022-12-04T19:24:00,-15.3983,-172.968,38,6.8,"Hihifo, Tonga"
2022-11-22T02:03:00,-9.7963,159.596,14,7,"Malango, Solomon Islands"
2022-11-18T13:37:00,-4.9559,100.738,25,6.9,"Bengkulu, Indonesia"
2022-11-12T07:09:00,-20.0508,-178.346,579,7,Oceania Fiji
2022-11-11T10:48:00,-19.2918,-172.129,37,7.3,"Neiafu, Tonga"
2022-11-09T10:14:00,-25.5948,178.278,624.464,6.6, 
2022-11-09T09:51:00,-26.0442,178.381,660,7,the Fiji Islands
2022-11-09T09:38:00,-25.9678,178.363,630.379,6.8,the Fiji Islands
2022-10-20T11:57:00,7.6712,-82.3396,20,6.7,"Boca Chica, Panama"
2022-09-22T06:16:00,18.33,-102.913,20,6.8,"Aguililla, Mexico"
2022-09-19T18:05:00,18.3667,-103.252,26.943,7.6,"Aguililla, Mexico"
2022-09-18T06:44:00,23.1444,121.307,10,6.9,"Yujing, Taiwan"
2022-09-17T13:41:00,23.029,121.348,10,6.5,"Lugu, Taiwan"
2022-09-14T11:04:00,-21.2077,170.239,137,7,"Isangel, Vanuatu"
2022-09-10T23:47:00,-6.2237,146.471,116,7.6,"Kainantu, Papua New Guinea"
2022-09-05T04:52:00,29.7263,102.279,12,6.6,"Kangding, China"
2022-08-14T13:44:00,-32.6922,-178.959,30,6.6,the Kermadec Islands
2022-07-27T00:43:00,17.5978,120.809,33.729,7,"Bantay, Philippines"
2022-06-08T00:55:00,-9.0618,-71.1647,622.73,6.5,"Tarauacá, Brazil"
2022-05-26T12:02:00,-14.8628,-70.3081,236,7.2,"Azángaro, Peru"
2022-05-19T10:13:00,-54.1325,159.027,10,6.9, 
2022-05-10T23:06:00,-23.6141,-66.7236,220,6.8,"San Antonio de los Cobres, Argentina"
2022-04-21T07:42:00,11.5538,-86.9919,27,6.6,"Masachapa, Nicaragua"
2022-03-31T05:44:00,-22.5732,170.349,10,7,the Loyalty Islands
2022-03-30T20:56:00,-22.72,170.277,10,6.9,"Tadine, New Caledonia"
2022-03-22T17:41:00,23.3421,121.636,24,6.7,"Hualien City, Taiwan"
2022-03-16T14:36:00,37.7015,141.587,41,7.3,"Namie, Japan"
2022-03-13T21:09:00,-0.6831,98.6034,28,6.7,"Pariaman, Indonesia"
2022-03-02T12:52:00,-30.0528,-177.74,24,6.6,"Kermadec Islands, New Zealand"
2022-02-16T20:21:00,-23.7852,-179.968,535,6.8,the Fiji Islands
2022-02-03T15:58:00,-4.455,-76.9395,110,6.5,"Barranca, Peru"
2022-01-29T02:46:00,-29.535,-176.729,8,6.5,Kermadec Islands region
2022-01-14T09:05:00,-6.9291,105.251,33,6.6,"Labuan, Indonesia"
2022-01-11T12:39:00,52.502,-168.08,37,6.5,"Nikolski, Alaska"
2022-01-11T12:39:00,52.502,-168.08,37,6.5,"Nikolski, Alaska"
2022-01-11T12:39:00,52.6252,-168.15,19,6.6,"Nikolski, Alaska"
2022-01-11T11:35:00,52.48,-167.736,33,6.7,"Nikolski, Alaska"
2022-01-11T11:35:00,52.48,-167.736,33,6.7,"Nikolski, Alaska"
2022-01-11T11:35:00,52.6563,-167.917,20,6.8,"Nikolski, Alaska"
2022-01-11T01:07:00,35.1456,31.9095,21,6.6,"Pólis, Cyprus"
2022-01-07T17:45:00,37.8167,101.299,13,6.6,"northern Qinghai, China"
2021-12-29T18:25:00,-7.5924,127.581,165.49,7.3,"Lospalos, Timor Leste"
2021-12-14T03:20:00,-7.6033,122.2,14.27,7.3,Flores Sea
2021-11-28T10:52:00,-4.4898,-76.8461,126,7.5,"Barranca, Peru"
2021-11-10T15:45:00,23.5414,126.48,12,6.6,"Hirara, Japan"
2021-10-11T09:10:00,56.2581,-156.492,51.6,6.9,"Chignik, Alaska"
2021-10-09T10:58:00,-21.1704,174.54,535,6.9,Vanuatu region
2021-10-02T06:29:00,-21.1036,174.895,527,7.3,Vanuatu region
2021-09-22T09:57:00,12.1598,-87.8542,21,6.5,"Jiquilillo, Nicaragua"
2021-09-08T01:47:00,16.9502,-99.7877,20,7,"Acapulco, Mexico"
2021-08-22T21:33:00,-60.3026,-24.9992,6,7.1,South Sandwich Islands region
2021-08-22T00:45:00,-60.1023,-24.4608,7,6.6,South Sandwich Islands region
2021-08-18T10:10:00,-14.892,167.085,93,6.9,"Port-Olry, Vanuatu"
2021-08-16T11:10:00,-58.3814,-23.3318,16.7,6.9,South Sandwich Islands region
2021-08-14T12:29:00,18.3521,-73.4804,10,7.2,"Nippes, Haiti"
2021-08-14T11:57:00,55.2364,-157.707,33.3,6.9,"Perryville, Alaska"
2021-08-14T11:57:00,55.2657,-157.68,20.74,6.9,"Perryville, Alaska"
2021-08-12T18:35:00,-58.4157,-25.3206,22.79,8.1,South Sandwich Islands region
2021-08-12T18:32:00,-57.5959,-25.1874,47.23,7.5,South Sandwich Islands region
2021-08-11T17:46:00,6.4547,126.742,55.14,7.1,"Pondaguitan, Philippines"
2021-07-29T06:15:00,55.4742,-157.917,46.66,8.2,"Perryville, Alaska"
2021-07-29T06:15:00,55.3154,-157.829,35,8.2,"Perryville, Alaska"
2021-07-23T20:48:00,13.6989,120.713,110,6.7,"Hukay, Philippines"
2021-07-21T21:15:00,7.5904,-82.8813,10,6.7,"Burica, Panama"
2021-06-20T17:05:00,-30.2144,-177.773,25,6.5,"Kermadec Islands, New Zealand"
2021-05-21T22:13:00,-16.4796,-177.356,10,6.5,"Alo, Wallis and Futuna"
2021-05-21T18:04:00,34.5861,98.2551,10,7.3,"Southern Qinghai, China"
2021-05-14T06:33:00,0.1684,96.6475,11,6.7,"Sinabang, Indonesia"
2021-05-12T14:05:00,-17.2495,66.3745,10,6.7,Mauritius - Reunion region
2021-05-01T01:27:00,38.2296,141.665,43,6.9,Asia Japan
2021-04-25T22:28:00,-21.6857,-177.064,246,6.5,"Haveluloto, Tonga"
2021-04-24T00:23:00,-18.9204,-176.235,301,6.5,"Pangai, Tonga"
2021-03-20T09:09:00,38.4752,141.607,43,7,"Ishinomaki, Japan"
2021-03-16T18:38:00,54.7018,163.208,13.23,6.6,"Ust’-Kamchatsk Staryy, Russia"
2021-03-04T23:12:00,-28.4792,-176.619,24,6.5,Kermadec Islands region
2021-03-04T19:28:00,-29.7466,-177.224,28.93,8.1,"Kermadec Islands, New Zealand"
2021-03-04T17:41:00,-29.6131,-177.842,43,7.4,"Kermadec Islands, New Zealand"
2021-03-04T13:27:00,-37.596,179.544,10,7.3,"Gisborne, New Zealand"
2021-02-13T14:07:00,37.6856,141.992,43.98,7.1,"Namie, Japan"
2021-02-10T13:19:00,-23.2787,171.489,10,7.7,the Loyalty Islands
2021-01-23T23:36:00,-61.8484,-55.559,15,6.9,South Shetland Islands
2021-01-21T12:23:00,5.0074,127.517,80,7,"Pondaguitan, Philippines"
2021-01-11T21:32:00,51.2407,100.443,10,6.7,"Turt, Mongolia"
2020-12-27T21:39:00,-39.3264,-74.9067,10,6.7,"Corral, Chile"
2020-10-30T11:51:00,37.8973,26.7953,21,7,"Néon Karlovásion, Greece"
2020-10-19T20:54:00,54.662,-159.675,28.37,7.6,"Sand Point, Alaska"
2020-09-18T21:43:00,0.9604,-26.8332,10,6.9,central Mid-Atlantic Ridge
2020-09-01T21:09:00,-27.9285,-71.3937,16,6.5,"Vallenar, Chile"
