date,latitude,longitude,depth_km,magnitude,location
2024-12-26T09:32:30,39.2367,29.3637,0.0,1.7,KARBASAN-HISARCIK (KUTAHYA) İlksel
2024-12-26T09:27:46,38.7047,37.4968,5.3,2.0,KAVAKKOY-DARENDE (MALATYA) İlksel
2024-12-26T09:18:21,38.8945,37.4025,6.0,1.8,DAYAKPINAR-GURUN (SIVAS) İlksel
2024-12-26T09:01:06,35.818,31.527,11.7,2.0,AKDENIZ İlksel
2024-12-26T08:54:10,37.1632,28.7407,9.2,1.4,TURGUT-ULA (MUGLA) İlksel
2024-12-26T08:25:39,37.6692,36.095,5.9,1.6,ESENLI-SUMBAS (OSMANIYE) İlksel
2024-12-26T08:00:32,38.8793,31.4717,8.4,2.7,GELINCIK-EMIRDAG (AFYONKARAHISAR) İlksel
2024-12-26T07:40:09,38.3803,38.9347,5.4,2.3,GELINDERE-SIVRICE (ELAZIG) İlksel
2024-12-26T07:35:42,37.9872,27.1968,4.9,2.1,KUSADASI KORFEZI (EGE DENIZI) İlksel
2024-12-26T07:26:47,37.4827,36.567,5.5,2.4,KISIKLI-(KAHRAMANMARAS) İlksel
2024-12-26T06:07:12,38.077,36.6103,5.3,1.3,YAGMURLU-GOKSUN (KAHRAMANMARAS) İlksel
2024-12-26T06:03:10,38.1052,36.3635,24.4,1.2,SOGUKPINAR-GOKSUN (KAHRAMANMARAS) İlksel
2024-12-26T05:47:58,38.561,40.1853,21.3,1.5,ERBAGI-ARICAK (ELAZIG) İlksel
2024-12-26T05:43:06,38.3552,38.7892,5.3,1.5,CANAKCI-KALE (MALATYA) İlksel
2024-12-26T04:54:04,37.14,28.8257,5.0,1.0,KARACAOREN-(MUGLA) İlksel
2024-12-26T04:09:42,34.9668,30.8005,18.0,3.0,AKDENIZ İlksel
2024-12-26T04:04:28,37.156,28.8093,12.6,2.0,KARACAOREN-(MUGLA) İlksel
2024-12-26T04:00:50,37.866,38.5975,5.6,1.5,BAGOZU-KAHTA (ADIYAMAN) İlksel
2024-12-26T03:59:22,38.6705,43.2717,4.5,1.3,ALAKOY-(VAN) İlksel
2024-12-26T03:49:32,38.2982,34.8117,5.0,1.5,ORHANLI-(NIGDE) İlksel
2024-12-26T03:18:14,38.193,38.4677,15.1,1.5,GULUMUSAGI-(MALATYA) İlksel
2024-12-26T02:49:19,37.8687,29.2723,8.0,2.0,GURLEYIK-HONAZ (DENIZLI) İlksel
2024-12-26T02:37:12,38.5368,26.8093,5.4,2.1,IZMIR KORFEZI (EGE DENIZI) İlksel
2024-12-26T02:35:28,37.8657,29.2778,5.8,1.9,GURLEYIK-HONAZ (DENIZLI) İlksel
2024-12-26T02:28:51,38.133,36.6117,7.7,1.8,KANLIKAVAK-GOKSUN (KAHRAMANMARAS) İlksel
2024-12-26T01:58:15,39.979,29.2637,3.5,1.8,PINARCIK-KELES (BURSA) İlksel
2024-12-26T01:07:44,38.2305,38.5767,5.0,2.0,SOGUTLU-PUTURGE (MALATYA) İlksel
2024-12-26T00:41:22,37.1873,28.8157,10.0,1.7,KARACAOREN-(MUGLA) REVIZE01 (2024.12.26 00:41:22)
2024-12-26T00:36:05,37.0857,28.8225,17.1,1.9,YAYLA-KOYCEGIZ (MUGLA) İlksel
2024-12-25T21:36:05,38.154,37.8612,1.4,2.9,POLAT-DOGANSEHIR (MALATYA) İlksel
2024-12-25T19:53:49,39.6853,37.366,11.6,1.6,AKPINAR-(SIVAS) İlksel
2024-12-25T19:45:47,38.9912,39.0442,7.9,1.6,DOGAN-CEMISGEZEK (TUNCELI) İlksel
